lon,lat,z1p0,z2p5
-123.50,48.00,0.287,0.711
-123.50,48.05,0.386,1.659
-123.50,48.10,0.425,2.036
-123.50,48.15,0.413,1.916
-123.50,48.20,0.358,1.388
-123.45,48.00,0.285,0.688
-123.45,48.05,0.386,1.662
-123.45,48.10,0.442,2.196
-123.45,48.15,0.435,2.129
-123.45,48.20,0.369,1.494
-123.40,48.00,0.283,0.673
-123.40,48.05,0.393,1.726
-123.40,48.10,0.457,2.339
-123.40,48.15,0.453,2.308
-123.40,48.20,0.39,1.702
-123.35,48.00,0.302,0.855
-123.35,48.05,0.421,1.996
-123.35,48.10,0.476,2.526
-123.35,48.15,0.472,2.489
-123.35,48.20,0.405,1.847
-123.30,47.95,0.247,0.318
-123.30,48.00,0.347,1.287
-123.30,48.05,0.45,2.275
-123.30,48.10,0.496,2.718
-123.30,48.15,0.484,2.607
-123.30,48.20,0.425,2.036
-123.25,47.20,0.266,0.509
-123.25,47.25,0.282,0.661
-123.25,47.30,0.302,0.853
-123.25,47.35,0.281,0.652
-123.25,47.40,0.259,0.439
-123.25,47.95,0.273,0.571
-123.25,48.00,0.37,1.51
-123.25,48.05,0.47,2.463
-123.25,48.10,0.515,2.902
-123.25,48.15,0.491,2.665
-123.25,48.20,0.447,2.25
-123.25,48.25,0.395,1.743
-123.20,47.20,0.305,0.885
-123.20,47.25,0.339,1.204
-123.20,47.30,0.361,1.421
-123.20,47.35,0.36,1.407
-123.20,47.40,0.327,1.094
-123.20,47.95,0.273,0.576
-123.20,48.00,0.371,1.516
-123.20,48.05,0.469,2.46
-123.20,48.10,0.515,2.897
-123.20,48.15,0.509,2.839
-123.20,48.20,0.47,2.467
-123.20,48.25,0.433,2.114
-123.15,47.15,0.313,0.962
-123.15,47.20,0.353,1.344
-123.15,47.25,0.398,1.776
-123.15,47.30,0.442,2.199
-123.15,47.35,0.44,2.176
-123.15,47.40,0.415,1.943
-123.15,47.45,0.372,1.523
-123.15,47.95,0.261,0.459
-123.15,48.00,0.348,1.297
-123.15,48.05,0.456,2.331
-123.15,48.10,0.512,2.874
-123.15,48.15,0.524,2.984
-123.15,48.20,0.497,2.728
-123.15,48.25,0.47,2.47
-123.10,47.10,0.312,0.943
-123.10,47.15,0.362,1.427
-123.10,47.20,0.413,1.915
-123.10,47.25,0.472,2.483
-123.10,47.30,0.498,2.734
-123.10,47.35,0.5,2.754
-123.10,47.40,0.498,2.74
-123.10,47.45,0.455,2.319
-123.10,47.50,0.378,1.587
-123.10,47.55,0.308,0.905
-123.10,47.95,0.239,0.245
-123.10,48.00,0.323,1.057
-123.10,48.05,0.426,2.046
-123.10,48.10,0.496,2.716
-123.10,48.15,0.528,3.028
-123.10,48.20,0.513,2.883
-123.10,48.25,0.496,2.721
-123.05,47.10,0.367,1.481
-123.05,47.15,0.423,2.012
-123.05,47.20,0.476,2.529
-123.05,47.25,0.535,3.089
-123.05,47.30,0.557,3.307
-123.05,47.35,0.559,3.321
-123.05,47.40,0.561,3.343
-123.05,47.45,0.518,2.928
-123.05,47.50,0.439,2.168
-123.05,47.55,0.362,1.432
-123.05,47.60,0.288,0.719
-123.05,47.95,0.229,0.146
-123.05,48.00,0.304,0.866
-123.05,48.05,0.425,2.036
-123.05,48.10,0.495,2.711
-123.05,48.15,0.53,3.042
-123.05,48.20,0.534,3.081
-123.05,48.25,0.518,2.932
-123.05,48.30,0.455,2.323
-123.00,47.05,0.344,1.253
-123.00,47.10,0.413,1.916
-123.00,47.15,0.467,2.44
-123.00,47.20,0.53,3.048
-123.00,47.25,0.578,3.51
-123.00,47.30,0.6,3.714
-123.00,47.35,0.597,3.688
-123.00,47.40,0.568,3.415
-123.00,47.45,0.526,3.008
-123.00,47.50,0.464,2.41
-123.00,47.55,0.389,1.687
-123.00,47.60,0.324,1.06
-123.00,47.65,0.258,0.43
-123.00,47.90,0.219,0.051
-123.00,47.95,0.25,0.348
-123.00,48.00,0.34,1.218
-123.00,48.05,0.428,2.068
-123.00,48.10,0.496,2.721
-123.00,48.15,0.531,3.058
-123.00,48.20,0.535,3.095
-123.00,48.25,0.502,2.773
-123.00,48.30,0.447,2.247
-122.95,47.00,0.304,0.873
-122.95,47.05,0.388,1.681
-122.95,47.10,0.465,2.418
-122.95,47.15,0.525,2.994
-122.95,47.20,0.576,3.492
-122.95,47.25,0.618,3.896
-122.95,47.30,0.621,3.92
-122.95,47.35,0.581,3.533
-122.95,47.40,0.539,3.127
-122.95,47.45,0.496,2.718
-122.95,47.50,0.454,2.317
-122.95,47.55,0.412,1.91
-122.95,47.60,0.358,1.388
-122.95,47.65,0.296,0.797
-122.95,47.70,0.224,0.098
-122.95,47.75,0.22,0.067
-122.95,47.80,0.229,0.146
-122.95,47.85,0.23,0.155
-122.95,47.90,0.24,0.259
-122.95,47.95,0.282,0.656
-122.95,48.00,0.37,1.502
-122.95,48.05,0.456,2.329
-122.95,48.10,0.515,2.896
-122.95,48.15,0.534,3.084
-122.95,48.20,0.516,2.914
-122.95,48.25,0.491,2.666
-122.95,48.30,0.417,1.958
-122.90,46.95,0.261,0.461
-122.90,47.00,0.331,1.127
-122.90,47.05,0.428,2.067
-122.90,47.10,0.514,2.888
-122.90,47.15,0.574,3.472
-122.90,47.20,0.605,3.763
-122.90,47.25,0.635,4.059
-122.90,47.30,0.621,3.917
-122.90,47.35,0.559,3.323
-122.90,47.40,0.476,2.524
-122.90,47.45,0.446,2.234
-122.90,47.50,0.432,2.101
-122.90,47.55,0.413,1.915
-122.90,47.60,0.399,1.785
-122.90,47.65,0.367,1.472
-122.90,47.70,0.323,1.056
-122.90,47.75,0.306,0.888
-122.90,47.80,0.287,0.711
-122.90,47.85,0.287,0.707
-122.90,47.90,0.286,0.7
-122.90,47.95,0.319,1.018
-122.90,48.00,0.393,1.724
-122.90,48.05,0.476,2.529
-122.90,48.10,0.517,2.921
-122.90,48.15,0.536,3.102
-122.90,48.20,0.506,2.818
-122.90,48.25,0.457,2.342
-122.90,48.30,0.389,1.689
-122.85,46.95,0.272,0.559
-122.85,47.00,0.367,1.472
-122.85,47.05,0.467,2.443
-122.85,47.10,0.555,3.282
-122.85,47.15,0.607,3.785
-122.85,47.20,0.616,3.873
-122.85,47.25,0.632,4.029
-122.85,47.30,0.612,3.837
-122.85,47.35,0.52,2.946
-122.85,47.40,0.425,2.03
-122.85,47.45,0.386,1.66
-122.85,47.50,0.389,1.691
-122.85,47.55,0.413,1.916
-122.85,47.60,0.433,2.116
-122.85,47.65,0.431,2.092
-122.85,47.70,0.407,1.865
-122.85,47.75,0.389,1.691
-122.85,47.80,0.368,1.487
-122.85,47.85,0.346,1.275
-122.85,47.90,0.327,1.089
-122.85,47.95,0.347,1.289
-122.85,48.00,0.414,1.927
-122.85,48.05,0.488,2.645
-122.85,48.10,0.517,2.921
-122.85,48.15,0.515,2.903
-122.85,48.20,0.472,2.491
-122.85,48.25,0.431,2.092
-122.85,48.30,0.358,1.392
-122.80,46.95,0.292,0.753
-122.80,47.00,0.39,1.698
-122.80,47.05,0.507,2.828
-122.80,47.10,0.578,3.503
-122.80,47.15,0.601,3.73
-122.80,47.20,0.602,3.736
-122.80,47.25,0.636,4.06
-122.80,47.30,0.611,3.823
-122.80,47.35,0.52,2.951
-122.80,47.40,0.405,1.84
-122.80,47.45,0.364,1.452
-122.80,47.50,0.38,1.6
-122.80,47.55,0.423,2.011
-122.80,47.60,0.478,2.548
-122.80,47.65,0.508,2.834
-122.80,47.70,0.494,2.694
-122.80,47.75,0.47,2.466
-122.80,47.80,0.438,2.158
-122.80,47.85,0.385,1.648
-122.80,47.90,0.349,1.304
-122.80,47.95,0.347,1.289
-122.80,48.00,0.399,1.783
-122.80,48.05,0.476,2.523
-122.80,48.10,0.504,2.795
-122.80,48.15,0.492,2.683
-122.80,48.20,0.461,2.379
-122.80,48.25,0.412,1.905
-122.80,48.30,0.336,1.183
-122.80,48.35,0.261,0.453
-122.75,46.95,0.295,0.785
-122.75,47.00,0.412,1.914
-122.75,47.05,0.521,2.956
-122.75,47.10,0.593,3.653
-122.75,47.15,0.595,3.668
-122.75,47.20,0.601,3.723
-122.75,47.25,0.632,4.027
-122.75,47.30,0.599,3.709
-122.75,47.35,0.522,2.963
-122.75,47.40,0.421,1.997
-122.75,47.45,0.369,1.496
-122.75,47.50,0.383,1.626
-122.75,47.55,0.44,2.177
-122.75,47.60,0.526,3.005
-122.75,47.65,0.572,3.45
-122.75,47.70,0.567,3.405
-122.75,47.75,0.531,3.059
-122.75,47.80,0.479,2.552
-122.75,47.85,0.413,1.917
-122.75,47.90,0.368,1.49
-122.75,47.95,0.344,1.256
-122.75,48.00,0.39,1.699
-122.75,48.05,0.454,2.312
-122.75,48.10,0.494,2.697
-122.75,48.15,0.49,2.658
-122.75,48.20,0.449,2.269
-122.75,48.25,0.411,1.904
-122.75,48.30,0.339,1.21
-122.75,48.35,0.265,0.491
-122.70,46.95,0.296,0.796
-122.70,47.00,0.412,1.913
-122.70,47.05,0.51,2.852
-122.70,47.10,0.578,3.504
-122.70,47.15,0.603,3.745
-122.70,47.20,0.605,3.765
-122.70,47.25,0.623,3.935
-122.70,47.30,0.59,3.623
-122.70,47.35,0.52,2.947
-122.70,47.40,0.433,2.107
-122.70,47.45,0.391,1.704
-122.70,47.50,0.405,1.84
-122.70,47.55,0.472,2.488
-122.70,47.60,0.576,3.486
-122.70,47.65,0.625,3.96
-122.70,47.70,0.618,3.892
-122.70,47.75,0.561,3.341
-122.70,47.80,0.496,2.72
-122.70,47.85,0.42,1.982
-122.70,47.90,0.368,1.486
-122.70,47.95,0.345,1.263
-122.70,48.00,0.386,1.661
-122.70,48.05,0.431,2.091
-122.70,48.10,0.472,2.483
-122.70,48.15,0.475,2.512
-122.70,48.20,0.452,2.297
-122.70,48.25,0.418,1.964
-122.70,48.30,0.349,1.299
-122.70,48.35,0.266,0.501
-122.65,46.95,0.277,0.608
-122.65,47.00,0.383,1.632
-122.65,47.05,0.481,2.574
-122.65,47.10,0.549,3.232
-122.65,47.15,0.587,3.592
-122.65,47.20,0.609,3.807
-122.65,47.25,0.606,3.779
-122.65,47.30,0.569,3.419
-122.65,47.35,0.498,2.737
-122.65,47.40,0.44,2.179
-122.65,47.45,0.393,1.728
-122.65,47.50,0.427,2.055
-122.65,47.55,0.514,2.894
-122.65,47.60,0.616,3.869
-122.65,47.65,0.682,4.506
-122.65,47.70,0.644,4.143
-122.65,47.75,0.589,3.611
-122.65,47.80,0.512,2.87
