lon,lat,z1p0,z2p5
-112.60,41.50,0.0,2.71
-112.55,41.45,0.0,2.71
-112.55,41.50,0.0,2.71
-112.55,41.55,0.0,2.71
-112.55,41.60,0.0,2.71
-112.50,41.35,0.0,2.71
-112.50,41.40,0.0,2.71
-112.50,41.45,0.0,2.71
-112.50,41.50,0.0,2.71
-112.50,41.55,0.002,2.71
-112.50,41.60,0.003,2.71
-112.50,41.65,0.0,2.71
-112.50,41.70,0.0,2.71
-112.50,41.75,0.0,2.71
-112.45,41.25,0.0,2.71
-112.45,41.30,0.0,2.71
-112.45,41.35,0.0,2.71
-112.45,41.40,0.0,2.71
-112.45,41.45,0.0,2.71
-112.45,41.50,0.021,2.71
-112.45,41.55,0.08,2.71
-112.45,41.60,0.08,2.71
-112.45,41.65,0.002,2.71
-112.45,41.70,0.0,2.71
-112.45,41.75,0.0,2.71
-112.45,41.80,0.0,2.71
-112.45,41.85,0.0,2.71
-112.40,41.15,0.0,2.71
-112.40,41.20,0.079,2.71
-112.40,41.25,0.069,2.71
-112.40,41.30,0.024,2.71
-112.40,41.35,0.069,2.71
-112.40,41.40,0.01,2.71
-112.40,41.45,0.121,2.71
-112.40,41.50,0.087,2.71
-112.40,41.55,0.08,2.71
-112.40,41.60,0.075,2.71
-112.40,41.65,0.0,2.71
-112.40,41.70,0.0,2.71
-112.40,41.75,0.0,2.71
-112.40,41.80,0.0,2.71
-112.40,41.85,0.0,2.71
-112.40,41.90,0.0,2.71
-112.40,41.95,0.0,2.71
-112.35,41.05,0.0,2.71
-112.35,41.10,0.001,2.71
-112.35,41.15,0.002,2.71
-112.35,41.20,0.274,2.71
-112.35,41.25,0.394,2.71
-112.35,41.30,0.395,2.71
-112.35,41.35,0.293,2.71
-112.35,41.40,0.436,2.71
-112.35,41.45,0.394,2.71
-112.35,41.50,0.208,2.71
-112.35,41.55,0.268,2.71
-112.35,41.60,0.223,2.71
-112.35,41.65,0.0,2.71
-112.35,41.70,0.0,2.71
-112.35,41.75,0.0,2.71
-112.35,41.80,0.0,2.71
-112.35,41.85,0.0,2.71
-112.35,41.90,0.0,2.71
-112.35,41.95,0.0,2.71
-112.30,40.95,0.0,2.71
-112.30,41.00,0.0,2.71
-112.30,41.05,0.002,2.71
-112.30,41.10,0.049,2.71
-112.30,41.15,0.039,2.71
-112.30,41.20,0.229,2.71
-112.30,41.25,0.256,2.71
-112.30,41.30,0.436,2.71
-112.30,41.35,0.436,2.71
-112.30,41.40,0.436,2.71
-112.30,41.45,0.266,2.71
-112.30,41.50,0.394,2.71
-112.30,41.55,0.477,2.775
-112.30,41.60,0.325,2.71
-112.30,41.65,0.049,2.71
-112.30,41.70,0.027,2.71
-112.30,41.75,0.019,2.71
-112.30,41.80,0.0,2.71
-112.30,41.85,0.0,2.71
-112.30,41.90,0.0,2.71
-112.30,41.95,0.0,2.71
-112.25,40.85,0.0,2.71
-112.25,40.90,0.0,2.71
-112.25,40.95,0.0,2.71
-112.25,41.00,0.0,2.71
-112.25,41.05,0.009,2.71
-112.25,41.10,0.259,2.71
-112.25,41.15,0.229,2.71
-112.25,41.20,0.202,2.71
-112.25,41.25,0.017,2.71
-112.25,41.30,0.2,2.71
-112.25,41.35,0.271,2.71
-112.25,41.40,0.324,2.71
-112.25,41.45,0.322,2.71
-112.25,41.50,0.436,2.71
-112.25,41.55,0.296,2.71
-112.25,41.60,0.001,2.71
-112.25,41.65,0.049,2.71
-112.25,41.70,0.099,2.71
-112.25,41.75,0.008,2.71
-112.25,41.80,0.0,2.71
-112.25,41.85,0.0,2.71
-112.25,41.90,0.012,2.71
-112.25,41.95,0.262,2.71
-112.20,40.75,0.092,2.71
-112.20,40.80,0.213,2.71
-112.20,40.85,0.042,2.71
-112.20,40.90,0.0,2.71
-112.20,40.95,0.0,2.71
-112.20,41.00,0.004,2.71
-112.20,41.05,0.073,2.71
-112.20,41.10,0.322,2.71
-112.20,41.15,0.356,2.71
-112.20,41.20,0.291,2.71
-112.20,41.25,0.15,2.71
-112.20,41.30,0.239,2.71
-112.20,41.35,0.258,2.71
-112.20,41.40,0.394,2.71
-112.20,41.45,0.357,2.71
-112.20,41.50,0.324,2.71
-112.20,41.55,0.194,2.71
-112.20,41.60,0.056,2.71
-112.20,41.65,0.181,2.71
-112.20,41.70,0.172,2.71
-112.20,41.75,0.008,2.71
-112.20,41.80,0.001,2.71
-112.20,41.85,0.049,2.71
-112.20,41.90,0.436,2.71
-112.20,41.95,0.436,2.71
-112.15,40.65,0.001,2.71
-112.15,40.70,0.009,2.71
-112.15,40.75,0.271,2.71
-112.15,40.80,0.271,2.71
-112.15,40.85,0.213,2.71
-112.15,40.90,0.436,2.71
-112.15,40.95,0.436,2.71
-112.15,41.00,0.24,2.71
-112.15,41.05,0.344,2.71
-112.15,41.10,0.291,2.71
-112.15,41.15,0.436,2.71
-112.15,41.20,0.436,2.71
-112.15,41.25,0.436,2.71
-112.15,41.30,0.436,2.71
-112.15,41.35,0.436,2.71
-112.15,41.40,0.436,2.71
-112.15,41.45,0.436,2.71
-112.15,41.50,0.324,2.71
-112.15,41.55,0.322,2.71
-112.15,41.60,0.436,2.71
-112.15,41.65,0.436,2.71
-112.15,41.70,0.395,2.71
-112.15,41.75,0.322,2.71
-112.15,41.80,0.26,2.71
-112.15,41.85,0.208,2.71
-112.15,41.90,0.1,2.71
-112.15,41.95,0.0,2.71
-112.10,40.55,0.03,2.71
-112.10,40.60,0.04,2.71
-112.10,40.65,0.047,2.71
-112.10,40.70,0.052,2.71
-112.10,40.75,0.388,2.71
-112.10,40.80,0.436,2.71
-112.10,40.85,0.436,2.71
-112.10,40.90,0.388,2.71
-112.10,40.95,0.132,2.71
-112.10,41.00,0.24,2.71
-112.10,41.05,0.388,2.71
-112.10,41.10,0.436,2.71
-112.10,41.15,0.436,2.71
-112.10,41.20,0.436,3.072
-112.10,41.25,0.436,2.775
-112.10,41.30,0.436,2.776
-112.10,41.35,0.436,2.71
-112.10,41.40,0.436,3.398
-112.10,41.45,0.436,2.775
-112.10,41.50,0.436,2.71
-112.10,41.55,0.437,2.71
-112.10,41.60,0.437,2.71
-112.10,41.65,0.436,2.71
-112.10,41.70,0.202,2.71
-112.10,41.75,0.161,2.71
-112.10,41.80,0.355,2.71
-112.10,41.85,0.114,2.71
-112.05,40.45,0.0,2.71
-112.05,40.50,0.046,2.71
-112.05,40.55,0.132,2.71
-112.05,40.60,0.149,2.71
-112.05,40.65,0.052,2.71
-112.05,40.70,0.052,2.71
-112.05,40.75,0.306,2.71
-112.05,40.80,0.344,2.71
-112.05,40.85,0.306,2.71
-112.05,40.90,0.213,2.71
-112.05,40.95,0.213,2.71
-112.05,41.00,0.436,2.71
-112.05,41.05,0.436,2.71
-112.05,41.10,0.436,2.776
-112.05,41.15,0.436,2.775
-112.05,41.20,0.436,3.07
